kanji,meaning,readings
沢,swamp,taku/sawa
但,however,tada-shi
男,male,dan/nan/otoko
沖,open sea,chū/oki
町,town,chō/machi
沈,sink,chin/shizu-mu/shizu-meru
低,low,tei/hiku-i/hiku-meru/hiku-maru
呈,display,tei
廷,courts,tei
弟,younger brother,tei/otōto
努,toil,do/tsuto-meru
投,throw,tō/na-geru
豆,beans,tō/mame
那,what,na
尿,urine,nyō
妊,pregnancy,nin
忍,endure,nin/shino-bu/shino-baseru
把,grasp,ha
売,sell,bai/u-ru/u-reru
伯,chief,haku
&,wheat,baku/mugi
抜,slip out,batsu/nu-ku/nu-keru/nu-kasu/nu-karu
伴,consort,han/ban/tomona-u
判,judge,han/ban
坂,slope,han/saka
阪,heights,han
否,negate,hi/ina
批,criticism,hi
尾,tail,bi/o
肘,elbow,hiji
扶,aid,fu
兵,soldier,hei/hyō
別,separate,betsu/waka-reru
返,return,hen/kae-su/kae-ru
芳,perfume,hō/kanba-shii
邦,home country,hō
坊,boy,bō
妨,disturb,bō/samata-geru
忘,forget,bō/wasu-reru
防,prevent,bō/fuse-gu
没,drown,botsu
妙,exquisite,myō
冶,melting,ya
役,service,yaku/eki
余,leave over,yo/ama-ru/ama-su
妖,bewitching,yō/aya-shii
抑,repress,yoku/osa-eru
沃,fertility,yoku
来,come,rai/ku-ru/kita-ru/kita-su
乱,riot,ran/mida-reru/mida-su
卵,egg,ran/tamago
利,profit,ri/ki-ku
里,village,ri/sato
良,good,ryō/yo-i
冷,cool,rei/tsume-tai/hi-eru/hi-ya/hi-yasu/hi-yakasu/sa-meru/sa-masu
励,encourage,rei/hage-mu/hage-masu
戻,re-,rei/modo-su/modo-ru
呂,spine,ro
労,labour,rō
弄,tamper with,rō/moteaso-bu
宛,allocate,a-teru
依,reliant,i
委,committee,i/yuda-neru
育,nurture,iku/soda-tsu/soda-teru/haguku-mu
雨,rain,u/ame
泳,swim,ei/oyo-gu
英,England,ei
易,easy,eki/i/yasa-shii
延,prolong,en/no-biru/no-beru/no-basu
沿,run alongside,en/so-u
炎,inflammation,en/honoo
往,outward journey,ō
押,push,ō/o-su/o-saeru
旺,flourishing,ō
欧,Europe,ō
殴,assault,ō/nagu-ru
岡,hill,
佳,excellent,ka
価,value,ka/atai
果,fruit,ka/ha-tasu/ha-teru/ha-te
河,river,ka/kawa
苛,torment,ka
画,tableau,ga/kaku
芽,bud,ga/me
怪,suspicious,kai/aya-shii/aya-shimu
拐,kidnap,kai
劾,censure,gai
拡,broaden,kaku
学,study,gaku/mana-bu
岳,point,gaku/take
官,government official,kan
岸,beach,gan/kishi
岩,boulder,gan/iwa
玩,trifle with,gan
奇,strange,ki
祈,pray,ki/ino-ru
季,seasons,ki
宜,best regards,gi
泣,cry,kyū/na-ku
居,reside,kyo/i-ru
拒,repel,kyo/koba-mu
拠,foothold,kyo/ko
京,capital,kyō/kei
享,receive,kyō
供,offer,kyō/sona-eru/tomo
協,cooperation,kyō
況,condition,kyō
金,gold,kin/kon/kane
苦,suffer,ku/kuru-shii/kuru-shimu/kuru-shimeru/niga-i/niga-ru
具,tool,gu
空,sky,kū/sora/a-ku/a-keru/kara
屈,yield,kutsu
径,diameter,kei
茎,stalk,kei/kuki
券,ticket,ken
肩,shoulder,ken/kata
弦,bowstring,gen/tsuru
呼,call,ko/yo-bu
固,hard,ko/kata-meru/kata-maru/kata-i
股,crotch,ko/mata
虎,tiger,ko/tora
効,effect,kō/ki-ku
幸,happiness,kō/saiwa-i/sachi/shiawa-se
拘,arrest,kō
肯,agreement,kō
刻,engrave,koku/kiza-mu
国,country,koku/kuni
昆,descendants,kon
妻,wife,sai/tsuma
采,form,sai
刷,printing,satsu/su-ru
刹,temple,satsu/setsu
参,participate,san/mai-ru
使,use,shi/tsuka-u
刺,thorn,shi/sa-su/sa-saru
始,begin,shi/haji-meru/haji-maru
姉,older sister,shi/ane
枝,branch,shi/eda
祉,welfare,shi
肢,limb,shi
事,abstract thing,ji/koto
侍,waiter,ji/samurai
治,govern,ji/chi/osa-meru/osa-maru/nao-ru/nao-su
実,truth,jitsu/mi/mino-ru
&,cottage,sha
者,someone,sha/mono
邪,wicked,ja
若,young,jaku/waka-i/mo-shikuha
取,take,shu/to-ru
受,accept,ju/u-keru/u-karu
呪,curse,ju/noro-u
周,circumference,shū/mawa-ri
宗,religion,shū/sō
叔,uncle,shuku
述,mention,jutsu/no-beru
所,place,sho/tokoro
尚,esteem,shō
招,beckon,shō/mane-ku
承,acquiesce,shō/uketamawa-ru
昇,rise up,shō/nobo-ru
松,pine,shō/matsu
沼,marsh,shō/numa
垂,droop,sui/ta-reru/ta-rasu
炊,cook,sui/ta-ku
枢,hinge,sū
制,control,sei
姓,surname,sei/shō
征,subjugate,sei
性,gender,sei/shō
青,blue,sei/ao/ao-i
斉,adjusted,sei
昔,long ago,seki/mukashi
析,chop,seki
拙,bungling,setsu/tsutana-i
狙,aim at,so/near-u
阻,thwart,so/haba-mu
卒,graduate,sotsu
卓,eminent,taku
拓,clear (the land),taku
担,shouldering,tan/katsu-gu/nina-u
知,know,chi/shi-ru
宙,mid-air,chū
忠,loyalty,chū
抽,pluck,chū
注,pour,chū/soso-gu
長,long,chō/naga-i
直,straight,choku/jiki/tada-chini/nao-su/nao-ru
坪,two-mat area,tsubo
定,decide,tei/jō/sada-meru/sada-maru/sada-ka
底,bottom,tei/soko
抵,resist,tei
邸,residence,tei
泥,mud,dei/doro
的,target,teki/mato
迭,transfer,tetsu
典,code,ten
店,shop,ten/mise
妬,jealousy,to/neta-mu
東,east,tō/higashi
到,arrival,tō
毒,poison,doku
突,stab,totsu/tsu-ku
届,deliver,todo-keru/todo-ku
奈,what,na
乳,milk,nyū/chichi/chi
念,thought,nen
波,wave,ha/nami
拝,worship,hai/oga-mu
杯,counter for cupfuls,hai/sakazuki
拍,clap,haku
泊,overnight,haku/to-maru/to-meru
迫,urge,haku/sema-ru
板,board,han/ban/ita
版,printing block,han
彼,he,hi/kare
披,expose,hi
肥,fertilizer,hi/ko-eru/koe/ko-yasu/ko-yashi
非,negative,hi
泌,ooze,hitsu/hi
表,express,hyō/omote/arawa-su/arawa-reru
苗,seedling,byō/nae
府,urban prefecture,fu
怖,dreadful,fu/kowa-i
阜,mound,
附,affixed,fu
侮,scorn,bu/anado-ru
武,military,bu/mu
服,clothes,fuku
沸,seethe,futsu/wa-ku/wa-kasu
物,thing,butsu/motsu/mono
併,join,hei/awa-seru
並,line-up,hei/nami/nara-beru/nara-bu/nara-bini
歩,walk,ho/bu/aru-ku/ayu-mu
奉,observance,hō/tatematsu-ru
宝,treasure,hō/takara
抱,embrace,hō/da-ku/ida-ku/kaka-eru
放,release,hō/hana-su/hana-tsu/hana-reru/hō-ru
法,method,hō
泡,bubbles,hō/awa
房,tassel,bō/fusa
肪,obese,bō
牧,breed,boku/maki
奔,bustle,hon
妹,younger sister,mai/imōto
枚,sheet of...,mai
枕,pillow,makura
抹,rub,matsu
味,flavor,mi/aji/aji-wau
岬,headland,misaki
命,fate,mei/myō/inochi
明,bright,mei/myō/a-kari/aka-rui/aka-rumu/aka-ramu/aki-raka/a-keru/a-ku/a-kuru/a-kasu
免,excuse,men/manuka-reru
茂,overgrown,mo/shige-ru
盲,blind,mō
門,gates,mon/kado
夜,night,ya/yo/yoru
弥,all the more,ya
油,oil,yu/abura
拉,crush,ra
林,woods,rin/hayashi
例,example,rei/tato-eru
炉,hearth,ro
和,peace,wa/yawa-ragu/yawa-rageru/nago-mu/nago-yaka
枠,frame,waku
哀,pathetic,ai/awa-re/awa-remu
威,intimidate,i
為,do,i
畏,fear,i/oso-reru
胃,stomach,i
茨,thorn,
咽,throat,in
姻,matrimony,in
映,reflect,ei/utsu-ru/utsu-su/ha-eru
栄,prosperity,ei/saka-eru/ha-e/ha-eru
疫,epidemic,eki
怨,grudge,en/on
屋,roof,oku/ya
卸,wholesale,oro-su/oroshi
音,sound,on/in/oto/ne
科,section,ka
架,rack,ka/ka-keru/ka-karu
悔,repent,kai/ku-iru/ku-yamu/kuya-shii
海,sea,kai/umi
界,world,kai
皆,all,kai/mina
垣,hedge,kaki
柿,persimmon,kaki
革,leather,kaku/kawa
括,fasten,katsu
活,active,katsu
冠,crown,kan/kanmuri
巻,scroll,kan/ma-ku/maki
看,watch over,kan
紀,chronicle,ki
軌,rut,ki
客,guest,kyaku/kaku
逆,inverted,gyaku/saka/saka-rau
虐,tyrannize,gyaku/shiita-geru
急,hurry,kyū/iso-gu
級,rank,kyū
糾,twist,kyū
峡,gorge,kyō
挟,pinch,kyō/hasa-mu/hasa-maru
狭,cramped,kyō/sema-i/seba-meru/seba-maru
軍,army,gun
係,person in charge,kei/kaka-ru/kakari
型,model,kei/kata
契,pledge,kei/chigi-ru
計,measure,kei/haka-ru/haka-rau
建,build,ken/ta-teru/ta-tsu
研,sharpen,ken/to-gu
県,prefecture,ken
限,limit,gen/kagi-ru
孤,orphan,ko
弧,arc,ko
故,circumstances,ko/yue
枯,wither,ko/ka-reru/ka-rasu
後,behind,go/kō/nochi/ushi-ro/ato/oku-reru
侯,marquis,kō
厚,thick,kō/atsu-i
恒,constancy,kō
洪,deluge,kō
皇,emperor,kō/ō
紅,deep red,kō/beni/kurenai
荒,laid waste,kō/ara-i/a-reru/a-rasu
郊,outskirts,kō
香,incense,kō/ka/kao-ri/kao-ru
拷,torture,gō
恨,rancor,kon/ura-mu/ura-meshii
査,investigate,sa
砂,sand,sa/sha/suna
砕,smash,sai/kuda-ku/kuda-keru
削,plane,saku/kezu-ru
昨,previous,saku
柵,fence,saku
咲,blossom,sa-ku
拶,be imminent,satsu
姿,figure,shi/sugata
思,think,shi/omo-u
指,finger,shi/yubi/sa-su
施,carry out,shi/se/hodoko-su
持,hold,ji/mo-tsu
室,room,shitsu/muro
狩,hunt,shu/ka-ru/ka-ri
首,neck,shu/kubi
拾,pick up,shū/jū/hiro-u
秋,autumn,shū/aki
臭,stinking,shū/kusa-i/nio-u
柔,tender,jū/nyū/yawa-raka/yawa-rakai
重,heavy,jū/chō/e/omo-i/kasa-neru/kasa-naru
祝,celebrate,shuku/iwa-u
俊,genius,shun
春,springtime,shun/haru
盾,shield,jun/tate
叙,confer,jo
昭,shining,shō
乗,ride,jō/no-ru/no-seru
城,castle,jō/shiro
浄,clean,jō
拭,wipe,shoku/fu-ku/nugu-u
食,"eat, meal",shoku/ku-u/ku-rau/ta-beru
侵,encroach,shin/oka-su
信,trust,shin
津,haven,shin/tsu
神,god,shin/jin/kami
甚,tremendously,jin/hanaha-da/hanaha-dashii
帥,commander,sui
是,just so,ze
政,politics,sei/matsurigoto
星,star,sei/hoshi
牲,animal sacrifice,sei
省,government ministry,sei/shō/kaeri-miru/habu-ku
窃,stealth,setsu
宣,proclaim,sen
専,specialty,sen/moppa-ra
泉,spring,sen/izumi
浅,shallow,sen/asa-i
洗,wash,sen/ara-u
染,dye,sen/so-meru/so-maru/shi-miru/shi-mi
前,in front,zen/mae
祖,ancestor,so
奏,play music,sō/kana-deru
相,mutual,sō/shō/ai
荘,villa,sō
草,grass,sō/kusa
送,send,sō/oku-ru
促,stimulate,soku/unaga-su
則,rule,soku
俗,vulgar,zoku
耐,resistant,tai/ta-eru
待,wait,tai/ma-tsu
怠,neglect,tai/okota-ru/nama-keru
胎,womb,tai
退,retreat,tai/shirizo-ku/shirizo-keru
単,simple,tan
炭,charcoal,tan/sumi
胆,gall bladder,tan
段,steps,dan
茶,tea,cha/sa
昼,daytime,chū/hiru
柱,pillar,chū/hashira
挑,challenge,chō/ido-mu
勅,imperial order,choku
珍,rare,chin/mezura-shii
追,follow,tsui/o-u
亭,pavilion,tei
貞,upright,tei
帝,sovereign,tei
訂,revise,tei
点,point,ten
度,degrees,do/tabi
怒,angry,do/ika-ru/oko-ru
逃,escape,tō/ni-geru/ni-gasu/noga-su/noga-reru
洞,den,dō/hora
峠,mountain peak,tōge
独,alone,doku/hito-ri
栃,horse chestnut,
南,south,nan/minami
虹,rainbow,niji
派,sect,ha
背,back,hai/se/sei/somu-ku/somu-keru
肺,lungs,hai
畑,farm,hata/hatake
発,departure,hatsu/hotsu
卑,lowly,hi/iya-shii/iya-shimu/iya-shimeru
飛,fly,hi/to-bu/to-basu
眉,eyebrow,bi/mayu
美,beauty,bi/utsuku-shii
秒,second (part of time),byō
品,article,hin/shina
訃,obituary,fu
負,lose,fu/ma-keru/ma-kasu/o-u
赴,proceed,fu/omomu-ku
封,seal,fū/hō
風,wind,fū/kaze
柄,design,hei/gara/e
変,change,hen/ka-waru/ka-eru
便,convenience,ben/bin/tayo-ri
保,preserve,ho/tamo-tsu
胞,placenta,hō
某,so-and-so,bō
冒,risk,bō/oka-su
勃,rise,botsu
盆,basin,bon
昧,foolish,mai
迷,astray,mei/mayo-u
面,face,men/omo/omote/tsura
約,promise,yaku
勇,courage,yū/isa-mu
幽,seclude,yū
洋,ocean,yō
要,need,yō/kaname/i-ru
律,law,ritsu
柳,willow,ryū/yanagi
侶,companion,ryo
厘,thousandth,rin
郎,son,rō
挨,push open,ai
案,plan,an
員,member,in
院,institution,in
唄,song,
畝,furrow,une
浦,bay,ura
益,benefit,eki
悦,ecstasy,etsu
宴,banquet,en
桜,cherry tree,ō/sakura
翁,venerable old man,ō
俺,"I, we",ore
恩,grace,on
夏,summer,ka/natsu
家,house,ka/ke/ie/ya
荷,luggage,ka/ni
華,splendor,ka/hana
蚊,mosquito,ka
害,harm,gai
格,status,kaku
核,nucleus,kaku
株,stocks,kabu
釜,kettle,kama
陥,collapse,kan/ochii-ru/otoshii-reru
既,previously,ki/sude-ni
記,write down,ki/shiru-su
起,wake up,ki/o-kiru/o-koru/o-kosu
飢,hungry,ki/u-eru
鬼,ghost,ki/oni
帰,return,ki/kae-ru/kae-su
宮,Shinto shrine,kyū/gū/miya
挙,raise,kyo/a-geru/a-garu
恐,fear,kyō/oso-reru/oso-roshii
恭,respect,kyō/uyauya-shii
胸,bosom,kyō/mune
脅,threaten,kyō/obiya-kasu/odo-su/odo-kasu
訓,instruction,kun
郡,county,gun
恵,favor,kei/e/megu-mu
桁,beam,keta
倹,frugal,ken
兼,concurrently,ken/ka-neru
剣,sabre,ken/tsurugi
拳,fist,ken/kobushi
軒,flats,ken/noki
原,field,gen/hara
個,individual,ko
庫,warehouse,ko
娯,recreation,go
悟,enlightenment,go/sato-ru
候,climate,kō/sōrō
校,school,kō
耕,till,kō/tagaya-su
航,cruise,kō
貢,tribute,kō/mitsu-gu
降,descend,kō/o-riru/o-rosu/fu-ru
高,"tall, expensive",kō/taka-i/taka/taka-maru/taka-meru
剛,sturdy,gō
骨,bone,kotsu/hone
根,root,kon/ne
唆,tempt,sa/sosonoka-su
差,distinction,sa/sa-su
座,sit,za/suwa-ru
挫,sprain,za
宰,superintend,sai
栽,plantation,sai
剤,dose,zai
財,wealth,zai
索,cord,saku
殺,kill,satsu/koro-su
桟,scaffold,san
蚕,silkworm,san/kaiko
残,remainder,zan/noko-ru/noko-su
師,expert,shi
恣,selfish,shi
紙,paper,shi/kami
脂,fat,shi/abura
時,time,ji/toki
疾,rapidly,shitsu
射,shoot,sha/i-ru
借,borrow,shaku/ka-riru
酌,bartending,shaku/ku-mu
弱,weak,jaku/yowa-i/yowa-ru/yowa-maru/yowa-meru
殊,particularly,shu/koto
珠,pearl,shu
酒,alcoholic drink,shu/sake
修,discipline,shū/osa-meru/osa-maru
袖,sleeve,shū/sode
