stroke_count,kanji,meaning,readings
5,穴,hole,ketsu/ana
5,玄,mysterious,gen
5,古,old,ko/furu-i/furu-su
5,功,achievement,kō
5,巧,adroit,kō/taku-mi
5,広,wide,kō/hiro-i/hiro-maru/hiro-meru/hiro-garu/hiro-geru
5,甲,armor,kō/kan
5,号,number,gō
5,込,crowded,ko-mu/ko-meru
5,左,left (direction),sa/hidari
5,冊,counter for books,satsu/saku
5,札,tag,satsu/fuda
5,皿,dish,sara
5,仕,do,shi/tsuka-eru
5,史,history,shi
5,司,director,shi
5,四,four,shi/yo/yo-tsu/yo'-tsu/yon
5,市,market,shi/ichi
5,矢,arrow,shi/ya
5,示,indicate,ji/shi/shime-su
5,�,scold,shitsu/shika-ru
5,失,lose,shitsu/ushina-u
5,写,copy,sha/utsu-su/utsu-ru
5,主,master,shu/nushi/omo
5,囚,captured,shū
5,汁,soup,jū/shiru
5,出,exit,shutsu/de-ru/da-su
5,処,dispose,sho
5,召,summon,shō/me-su
5,尻,buttocks,shiri
5,申,say,shin/mō-su
5,世,world,sei/se/yo
5,正,correct,sei/shō/tada-shii/tada-su/masa
5,生,life,sei/shō/i-kiru/i-kasu/i-keru/u-mareru/u-mu/o-u/ha-eru/ha-yasu/ki/nama
5,斥,reject,seki
5,石,stone,seki/ishi
5,仙,hermit,sen
5,占,fortune telling,sen/shi-meru/urana-u
5,他,other,ta/hoka
5,打,hit,da/u-tsu
5,代,substitute,dai/tai/ka-waru/ka-eru/yo/shiro
5,台,pedestal,dai/tai
5,旦,daybreak,tan/dan
5,庁,government office,chō
5,田,rice paddy,den/ta
5,奴,guy,do
5,冬,winter,tō/fuyu
5,凸,convex,totsu
5,丼,bowl of food,donburi
5,尼,nun,ni/ama
5,白,white,haku/byaku/shiro/shiro-i
5,半,half,han/naka-ba
5,氾,spread out,han
5,犯,crime,han/oka-su
5,皮,skin,hi/kawa
5,必,without fail,hitsu/kanara-zu
5,氷,ice,hyō/koori/hi
5,付,attach,fu/tsu-keru/tsu-ku
5,布,linen,fu/nuno
5,払,pay,futsu/hara-u
5,丙,third class,hei
5,平,flat,hei/byō/tai-ra/hira
5,辺,environs,hen/ata-ri/be
5,弁,valve,ben
5,母,mother,bo/haha
5,包,wrap,hō/tsutsu-mu
5,北,north,hoku/kita
5,本,book,hon/moto
5,末,end,matsu/batsu/sue
5,未,not yet,mi
5,民,people,min/tami
5,矛,halberd,mu/hoko
5,目,eye,moku/me
5,由,reason,yu/yū/yoshi
5,幼,infancy,yō/osana-i
5,用,use,yō/mochi-iru
5,立,stand up,ritsu/ta-tsu/ta-teru
5,令,orders,rei
5,礼,thanks,rei/rai
6,扱,handle,atsuka-u
6,安,cheap,an/yasu-i
6,衣,clothes,i/koromo
6,芋,potato,imo
6,印,mark,in/shirushi
6,因,cause,in/yo-ru
6,宇,eaves,u
6,羽,feather,u/ha/hane
6,汚,dirty,o/kega-su/kega-reru/kega-rawashii/yogo-su/yogo-reru/kitana-i
6,仮,temporary,ka/kari
6,回,times,kai/mawa-ru/mawa-su
6,灰,ashes,kai/hai
6,会,association,kai/e/a-u
6,各,each,kaku/onoono
6,汗,sweat,kan/ase
6,缶,tin can,kan
6,企,plan,ki/kuwada-teru
6,伎,deed,ki
6,危,dangerous,ki/abu-nai/aya-ui/aya-bumu
6,机,desk,ki/tsukue
6,気,feeling,ki/ke
6,吉,good luck,kichi/kitsu
6,休,rest,kyū/yasu-mu/yasu-maru/yasu-meru
6,吸,suck,kyū/su-u
6,朽,decay,kyū/ku-chiru
6,臼,mortar,kyū/usu
6,共,together,kyō/tomo
6,叫,shout,kyō/sake-bu
6,仰,face-up,gyō/ao-gu/oo-se
6,曲,musical composition,kyoku/ma-garu/ma-geru
6,刑,punish,kei
6,血,blood,ketsu/chi
6,件,affair,ken
6,交,mix,kō/maji-waru/maji-eru/ma-jiru/ma-zaru/ma-zeru/ka-u/ka-wasu
6,光,ray,kō/hika-ru/hikari
6,向,over there,kō/mu-ku/mu-keru/mu-kau/mu-kō
6,后,empress,kō
6,好,like,kō/kono-mu/su-ku
6,江,inlet,kō/e
6,考,think,kō/kanga-eru
6,行,go,kō/gyō/i-ku/yu-ku/okona-u
6,合,fit,gō/ga'/a-u/a-wasu/a-waseru
6,再,again,sai/futata-bi
6,在,exist,zai/a-ru
6,旨,delicious,shi/mune
6,死,death,shi/shi-nu
6,糸,thread,shi/ito
6,至,climax,shi/ita-ru
6,字,letter,ji/aza
6,寺,Buddhist temple,ji/tera
6,次,next,ji/shi/tsu-gu/tsugi
6,耳,ear,ji/mimi
6,自,oneself,ji/shi/mizuka-ra
6,式,style,shiki
6,芝,turf,shiba
6,守,protect,shu/mamo-ru/mo-ri
6,朱,vermilion,shu
6,州,state,shū/su
6,舟,boat,shū/fune
6,充,allot,jū/a-teru
6,旬,10-day period (of the month),jun
6,巡,patrol,jun/megu-ru
6,如,likeness,jo/nyo
6,匠,artisan,shō
6,色,color,shoku/shiki/iro
6,尽,exhaust,jin/tsu-kusu/tsu-kiru/tsu-kasu
6,迅,swift,jin
6,成,become,sei/na-ru/na-su
6,西,west,sei/sai/nishi
6,舌,tongue,zetsu/shita
6,先,previous,sen/saki
6,全,whole,zen/matta-ku/sube-te
6,壮,robust,sō
6,早,early,sō/haya-i/haya-maru/haya-meru
6,争,conflict,sō/araso-u
6,存,suppose,son/zon
6,多,many,ta/oo-i
6,宅,home,taku
6,団,group,dan
6,地,ground,chi/ji
6,池,pond,chi/ike
6,竹,bamboo,chiku/take
6,仲,relationship,chū/naka
6,虫,insect,chū/mushi
6,兆,"portent, trillion",chō/kiza-su/kiza-shi
6,伝,transmit,den/tsuta-waru/tsuta-eru/tsuta-u
6,吐,spit,to/ha-ku
6,灯,lamp,tō/hi
6,当,hit,tō/a-taru/a-teru
6,同,same,dō/ona-ji
6,弐,two (falsification prevention),ni
6,肉,meat,niku
6,任,responsibility,nin/maka-seru/maka-su
6,年,year,nen/toshi
6,肌,texture,hada
6,伐,fell,batsu
6,帆,sail,han/ho
6,汎,pan-,han
6,妃,queen,hi
6,百,hundred,hyaku
6,伏,prostrated,fuku/fu-seru/fu-su
6,米,rice,bei/mai/kome
6,忙,busy,bō/isoga-shii
6,朴,crude,boku
6,毎,every,mai
6,名,name,mei/myō/na
6,妄,delusion,mō/bō
6,有,have,yū/u/a-ru
6,羊,sheep,yō/hitsuji
6,吏,officer,ri
6,両,both,ryō
6,列,row,retsu
6,劣,inferiority,retsu/oto-ru
6,老,old man,rō/o-iru/fu-keru
7,亜,sub-,a
7,位,rank,i/kurai
7,囲,surround,i/kako-mu/kako-u
7,医,medicine,i
7,壱,one (falsification prevention),ichi
7,応,respond,ō/kota-eru
7,何,what,ka/nani
7,花,flower,ka/hana
7,我,ego,ga/ware/wa
7,快,cheerful,kai/kokoroyo-i
7,戒,commandment,kai/imashi-meru
7,改,reformation,kai/arata-meru/arata-maru
7,貝,shellfish,kai
7,角,angle,kaku/kado/tsuno
7,完,perfect,kan
7,肝,liver,kan/kimo
7,含,include,gan/fuku-mu/fuku-meru
7,岐,branch off,ki
7,希,hope,ki
7,忌,mourning,ki/i-mu/i-mawashii
7,汽,steam,ki
7,技,skill,gi/waza
7,却,instead,kyaku
7,求,request,kyū/moto-meru
7,究,research,kyū/kiwa-meru
7,狂,lunatic,kyō/kuru-u/kuru-oshii
7,局,office,kyoku
7,均,level,kin
7,近,near,kin/chika-i
7,吟,versify,gin
7,串,skewer,kushi
7,君,you,kun/kimi
7,形,shape,kei/gyō/kata/katachi
7,系,lineage,kei
7,芸,art,gei
7,迎,welcome,gei/muka-eru
7,決,decide,ketsu/ki-meru/ki-maru
7,見,see,ken/mi-ru/mi-eru/mi-seru
7,言,say,gen/gon/i-u/koto
7,呉,give,go
7,坑,pit,kō
7,孝,filial piety,kō
7,抗,confront,kō
7,攻,aggression,kō/se-meru
7,更,grow late,kō/sara/fu-keru/fu-kasu
7,克,overcome,koku
7,告,tell,koku/tsu-geru
7,谷,valley,koku/tani
7,困,become distressed,kon/koma-ru
7,佐,help,sa
7,沙,sand,sa
7,災,disaster,sai/wazawa-i
7,材,lumber,zai
7,作,make,saku/sa/tsuku-ru
7,伺,pay respects,shi/ukaga-u
7,志,intention,shi/kokoroza-su/kokorozashi
7,私,me,shi/watakushi/watashi
7,似,becoming,ji/ni-ru
7,児,child,ji
7,社,company,sha/yashiro
7,車,car,sha/kuruma
7,寿,longevity,ju/kotobuki
7,秀,excel,shū/hii-deru
7,住,dwelling,jū/su-mu/su-mau
7,初,first,sho/haji-me/haji-mete/hatsu/ui/so-meru
7,助,help,jo/tasu-keru/tasu-karu/suke
7,序,preface,jo
7,床,bed,shō/toko/yuka
7,抄,extract,shō
7,肖,resemblance,shō
7,条,clause,jō
7,状,form,jō
7,伸,lengthen,shin/no-biru/no-basu/no-beru
7,臣,retainer,shin/jin
7,芯,core,shin
7,身,body,shin/mi
7,辛,spicy,shin/kara-i
7,図,diagram,zu/to/haka-ru
7,吹,blow,sui/fu-ku
7,杉,cedar,sugi
7,声,voice,sei/koe
7,赤,red,seki/aka/aka-i/aka-ramu/aka-rameru
7,折,fold,setsu/o-ru/ori/o-reru
7,走,run,sō/hashi-ru
7,即,instant,soku
7,束,bundle,soku/taba
7,足,foot,soku/ashi/ta-riru/ta-ru/ta-su
7,村,village,son/mura
7,汰,luxury,ta
7,妥,gentle,da
7,対,opposite,tai/tsui
7,体,body,tai/tei/karada
7,択,choose,taku
7,沢,swamp,taku/sawa
7,但,however,tada-shi
7,男,male,dan/nan/otoko
7,沖,open sea,chū/oki
7,町,town,chō/machi
7,沈,sink,chin/shizu-mu/shizu-meru
7,低,low,tei/hiku-i/hiku-meru/hiku-maru
7,呈,display,tei
7,廷,courts,tei
7,弟,younger brother,tei/otōto
7,努,toil,do/tsuto-meru
7,投,throw,tō/na-geru
7,豆,beans,tō/mame
7,那,what,na
7,尿,urine,nyō
7,妊,pregnancy,nin
7,忍,endure,nin/shino-bu/shino-baseru
7,把,grasp,ha
7,売,sell,bai/u-ru/u-reru
7,伯,chief,haku
7,麦,wheat,baku/mugi
7,抜,slip out,batsu/nu-ku/nu-keru/nu-kasu/nu-karu
7,伴,consort,han/ban/tomona-u
7,判,judge,han/ban
7,坂,slope,han/saka
7,阪,heights,han
7,否,negate,hi/ina
7,批,criticism,hi
7,尾,tail,bi/o
7,肘,elbow,hiji
7,扶,aid,fu
7,兵,soldier,hei/hyō
7,別,separate,betsu/waka-reru
7,返,return,hen/kae-su/kae-ru
7,芳,perfume,hō/kanba-shii
7,邦,home country,hō
7,坊,boy,bō
7,妨,disturb,bō/samata-geru
7,忘,forget,bō/wasu-reru
7,防,prevent,bō/fuse-gu
7,没,drown,botsu
7,妙,exquisite,myō
7,冶,melting,ya
7,役,service,yaku/eki
7,余,leave over,yo/ama-ru/ama-su
7,妖,bewitching,yō/aya-shii
7,抑,repress,yoku/osa-eru
7,沃,fertility,yoku
7,来,come,rai/ku-ru/kita-ru/kita-su
7,乱,riot,ran/mida-reru/mida-su
7,卵,egg,ran/tamago
7,利,profit,ri/ki-ku
7,里,village,ri/sato
7,良,good,ryō/yo-i
7,冷,cool,rei/tsume-tai/hi-eru/hi-ya/hi-yasu/hi-yakasu/sa-meru/sa-masu
7,励,encourage,rei/hage-mu/hage-masu
7,戻,re-,rei/modo-su/modo-ru
7,呂,spine,ro
7,労,labour,rō
7,弄,tamper with,rō/moteaso-bu
8,宛,allocate,a-teru
8,依,reliant,i
8,委,committee,i/yuda-neru
8,育,nurture,iku/soda-tsu/soda-teru/haguku-mu
8,雨,rain,u/ame
8,泳,swim,ei/oyo-gu
8,英,England,ei
8,易,easy,eki/i/yasa-shii
8,延,prolong,en/no-biru/no-beru/no-basu
8,沿,run alongside,en/so-u
8,炎,inflammation,en/honoo
8,往,outward journey,ō
8,押,push,ō/o-su/o-saeru
8,旺,flourishing,ō
8,欧,Europe,ō
8,殴,assault,ō/nagu-ru
8,岡,hill,
8,佳,excellent,ka
8,価,value,ka/atai
8,果,fruit,ka/ha-tasu/ha-teru/ha-te
8,河,river,ka/kawa
8,苛,torment,ka
8,画,tableau,ga/kaku
8,芽,bud,ga/me
8,怪,suspicious,kai/aya-shii/aya-shimu
8,拐,kidnap,kai
8,劾,censure,gai
8,拡,broaden,kaku
8,学,study,gaku/mana-bu
8,岳,point,gaku/take
8,官,government official,kan
8,岸,beach,gan/kishi
8,岩,boulder,gan/iwa
8,玩,trifle with,gan
8,奇,strange,ki
8,祈,pray,ki/ino-ru
8,季,seasons,ki
8,宜,best regards,gi
8,泣,cry,kyū/na-ku
8,居,reside,kyo/i-ru
8,拒,repel,kyo/koba-mu
8,拠,foothold,kyo/ko
8,京,capital,kyō/kei
8,享,receive,kyō
8,供,offer,kyō/sona-eru/tomo
8,協,cooperation,kyō
8,況,condition,kyō
8,金,gold,kin/kon/kane
8,苦,suffer,ku/kuru-shii/kuru-shimu/kuru-shimeru/niga-i/niga-ru
8,具,tool,gu
8,空,sky,kū/sora/a-ku/a-keru/kara
8,屈,yield,kutsu
8,径,diameter,kei
8,茎,stalk,kei/kuki
8,券,ticket,ken
8,肩,shoulder,ken/kata
8,弦,bowstring,gen/tsuru
8,呼,call,ko/yo-bu
8,固,hard,ko/kata-meru/kata-maru/kata-i
8,股,crotch,ko/mata
8,虎,tiger,ko/tora
8,効,effect,kō/ki-ku
8,幸,happiness,kō/saiwa-i/sachi/shiawa-se
8,拘,arrest,kō
8,肯,agreement,kō
8,刻,engrave,koku/kiza-mu
8,国,country,koku/kuni
8,昆,descendants,kon
8,妻,wife,sai/tsuma
8,采,form,sai
8,刷,printing,satsu/su-ru
8,刹,temple,satsu/setsu
8,参,participate,san/mai-ru
8,使,use,shi/tsuka-u
8,刺,thorn,shi/sa-su/sa-saru
8,始,begin,shi/haji-meru/haji-maru
8,姉,older sister,shi/ane
8,枝,branch,shi/eda
8,祉,welfare,shi
8,肢,limb,shi
8,事,abstract thing,ji/koto
8,侍,waiter,ji/samurai
8,治,govern,ji/chi/osa-meru/osa-maru/nao-ru/nao-su
8,実,truth,jitsu/mi/mino-ru
8,舎,cottage,sha
8,者,someone,sha/mono
8,邪,wicked,ja
8,若,young,jaku/waka-i/mo-shikuha
8,取,take,shu/to-ru
8,受,accept,ju/u-keru/u-karu
8,呪,curse,ju/noro-u
8,周,circumference,shū/mawa-ri
8,宗,religion,shū/sō
8,叔,uncle,shuku
8,述,mention,jutsu/no-beru
8,所,place,sho/tokoro
8,尚,esteem,shō
8,招,beckon,shō/mane-ku
8,承,acquiesce,shō/uketamawa-ru
8,昇,rise up,shō/nobo-ru
8,松,pine,shō/matsu
8,沼,marsh,shō/numa
8,垂,droop,sui/ta-reru/ta-rasu
8,炊,cook,sui/ta-ku
8,枢,hinge,sū
8,制,control,sei
8,姓,surname,sei/shō
8,征,subjugate,sei
8,性,gender,sei/shō
8,青,blue,sei/ao/ao-i
8,斉,adjusted,sei
8,昔,long ago,seki/mukashi
8,析,chop,seki
8,拙,bungling,setsu/tsutana-i
8,狙,aim at,so/nera-u
8,阻,thwart,so/haba-mu
8,卒,graduate,sotsu
8,卓,eminent,taku
8,拓,clear (the land),taku
8,担,shouldering,tan/katsu-gu/nina-u
8,知,know,chi/shi-ru
8,宙,mid-air,chū
8,忠,loyalty,chū
8,抽,pluck,chū
8,注,pour,chū/soso-gu
8,長,long,chō/naga-i
8,直,straight,choku/jiki/tada-chini/nao-su/nao-ru
8,坪,two-mat area,tsubo
8,定,decide,tei/jō/sada-meru/sada-maru/sada-ka
8,底,bottom,tei/soko
8,抵,resist,tei
8,邸,residence,tei
8,泥,mud,dei/doro
8,的,target,teki/mato
8,迭,transfer,tetsu
8,典,code,ten
8,店,shop,ten/mise
8,妬,jealousy,to/neta-mu
8,東,east,tō/higashi
8,到,arrival,tō
8,毒,poison,doku
8,突,stab,totsu/tsu-ku
8,届,deliver,todo-keru/todo-ku
8,奈,what,na
8,乳,milk,nyū/chichi/chi
8,念,thought,nen
8,波,wave,ha/nami
8,拝,worship,hai/oga-mu
8,杯,counter for cupfuls,hai/sakazuki
8,拍,clap,haku
8,泊,overnight,haku/to-maru/to-meru
8,迫,urge,haku/sema-ru
8,板,board,han/ban/ita
8,版,printing block,han
8,彼,he,hi/kare
8,披,expose,hi
8,肥,fertilizer,hi/ko-eru/koe/ko-yasu/ko-yashi
8,非,negative,hi
8,泌,ooze,hitsu/hi
8,表,express,hyō/omote/arawa-su/arawa-reru
8,苗,seedling,byō/nae
8,府,urban prefecture,fu
8,怖,dreadful,fu/kowa-i
8,阜,mound,
8,附,affixed,fu
8,侮,scorn,bu/anado-ru
8,武,military,bu/mu
8,服,clothes,fuku
8,沸,seethe,futsu/wa-ku/wa-kasu
8,物,thing,butsu/motsu/mono
8,併,join,hei/awa-seru
8,並,line-up,hei/nami/nara-beru/nara-bu/nara-bini
8,歩,walk,ho/bu/aru-ku/ayu-mu
8,奉,observance,hō/tatematsu-ru
8,宝,treasure,hō/takara
8,抱,embrace,hō/da-ku/ida-ku/kaka-eru
8,放,release,hō/hana-su/hana-tsu/hana-reru/hō-ru
8,法,method,hō
8,泡,bubbles,hō/awa
8,房,tassel,bō/fusa
8,肪,obese,bō
8,牧,breed,boku/maki
8,奔,bustle,hon
8,妹,younger sister,mai/imōto
8,枚,sheet of...,mai
8,枕,pillow,makura
8,抹,rub,matsu
8,味,flavor,mi/aji/aji-wau
8,岬,headland,misaki
8,命,fate,mei/myō/inochi
8,明,bright,mei/myō/a-kari/aka-rui/aka-rumu/aka-ramu/aki-raka/a-keru/a-ku/a-kuru/a-kasu
8,免,excuse,men/manuka-reru
8,茂,overgrown,mo/shige-ru
8,盲,blind,mō
8,門,gates,mon/kado
8,夜,night,ya/yo/yoru
8,弥,all the more,ya
8,油,oil,yu/abura
8,拉,crush,ra
8,林,woods,rin/hayashi
8,例,example,rei/tato-eru
8,炉,hearth,ro
8,和,peace,wa/yawa-ragu/yawa-rageru/nago-mu/nago-yaka
8,枠,frame,waku
9,哀,pathetic,ai/awa-re/awa-remu
9,威,intimidate,i
9,為,do,i
9,畏,fear,i/oso-reru
9,胃,stomach,i
9,茨,thorn,
9,咽,throat,in
9,姻,matrimony,in
9,映,reflect,ei/utsu-ru/utsu-su/ha-eru
9,栄,prosperity,ei/saka-eru/ha-e/ha-eru
9,疫,epidemic,eki
9,怨,grudge,en/on
9,屋,roof,oku/ya
9,卸,wholesale,oro-su/oroshi
9,音,sound,on/in/oto/ne
9,科,section,ka
9,架,rack,ka/ka-keru/ka-karu
9,悔,repent,kai/ku-iru/ku-yamu/kuya-shii
9,海,sea,kai/umi
9,界,world,kai
9,皆,all,kai/mina
9,垣,hedge,kaki
9,柿,persimmon,kaki
9,革,leather,kaku/kawa
9,括,fasten,katsu
9,活,active,katsu
9,冠,crown,kan/kanmuri
9,巻,scroll,kan/ma-ku/maki
9,看,watch over,kan
9,紀,chronicle,ki
9,軌,rut,ki
9,客,guest,kyaku/kaku
9,逆,inverted,gyaku/saka/saka-rau
9,虐,tyrannize,gyaku/shiita-geru
9,急,hurry,kyū/iso-gu
9,級,rank,kyū
9,糾,twist,kyū
9,峡,gorge,kyō
9,挟,pinch,kyō/hasa-mu/hasa-maru
9,狭,cramped,kyō/sema-i/seba-meru/seba-maru
9,軍,army,gun
9,係,person in charge,kei/kaka-ru/kakari
9,型,model,kei/kata
9,契,pledge,kei/chigi-ru
9,計,measure,kei/haka-ru/haka-rau
9,建,build,ken/ta-teru/ta-tsu
9,研,sharpen,ken/to-gu
9,県,prefecture,ken
9,限,limit,gen/kagi-ru
9,孤,orphan,ko
9,弧,arc,ko
9,故,circumstances,ko/yue
9,枯,wither,ko/ka-reru/ka-rasu
9,後,behind,go/kō/nochi/ushi-ro/ato/oku-reru
9,侯,marquis,kō
9,厚,thick,kō/atsu-i
9,恒,constancy,kō
9,洪,deluge,kō
9,皇,emperor,kō/ō
9,紅,deep red,kō/beni/kurenai
9,荒,laid waste,kō/ara-i/a-reru/a-rasu
9,郊,outskirts,kō
9,香,incense,kō/ka/kao-ri/kao-ru
9,拷,torture,gō
9,恨,rancor,kon/ura-mu/ura-meshii
9,査,investigate,sa
9,砂,sand,sa/sha/suna
9,砕,smash,sai/kuda-ku/kuda-keru
9,削,plane,saku/kezu-ru
9,昨,previous,saku
9,柵,fence,saku
9,咲,blossom,sa-ku
9,拶,be imminent,satsu
9,姿,figure,shi/sugata
9,思,think,shi/omo-u
9,指,finger,shi/yubi/sa-su
9,施,carry out,shi/se/hodoko-su
9,持,hold,ji/mo-tsu
9,室,room,shitsu/muro
9,狩,hunt,shu/ka-ru/ka-ri
9,首,neck,shu/kubi
9,拾,pick up,shū/jū/hiro-u
9,秋,autumn,shū/aki
9,臭,stinking,shū/kusa-i/nio-u
9,柔,tender,jū/nyū/yawa-raka/yawa-rakai
9,重,heavy,jū/chō/e/omo-i/kasa-neru/kasa-naru
9,祝,celebrate,shuku/iwa-u
9,俊,genius,shun
9,春,springtime,shun/haru
9,盾,shield,jun/tate
9,叙,confer,jo
9,昭,shining,shō
9,乗,ride,jō/no-ru/no-seru
9,城,castle,jō/shiro
9,浄,clean,jō
9,拭,wipe,shoku/fu-ku/nugu-u
9,食,"eat, meal",shoku/ku-u/ku-rau/ta-beru
9,侵,encroach,shin/oka-su
9,信,trust,shin
9,津,haven,shin/tsu
9,神,god,shin/jin/kami
9,甚,tremendously,jin/hanaha-da/hanaha-dashii
9,帥,commander,sui
9,是,just so,ze
9,政,politics,sei/matsurigoto
9,星,star,sei/hoshi
9,牲,animal sacrifice,sei
9,省,government ministry,sei/shō/kaeri-miru/habu-ku
9,窃,stealth,setsu
9,宣,proclaim,sen
9,専,specialty,sen/moppa-ra
9,泉,spring,sen/izumi
9,浅,shallow,sen/asa-i
9,洗,wash,sen/ara-u
9,染,dye,sen/so-meru/so-maru/shi-miru/shi-mi
9,前,in front,zen/mae
9,祖,ancestor,so
9,奏,play music,sō/kana-deru
9,相,mutual,sō/shō/ai
9,荘,villa,sō
9,草,grass,sō/kusa
9,送,send,sō/oku-ru
9,促,stimulate,soku/unaga-su
9,則,rule,soku
9,俗,vulgar,zoku
9,耐,resistant,tai/ta-eru
9,待,wait,tai/ma-tsu
9,怠,neglect,tai/okota-ru/nama-keru
9,胎,womb,tai
9,退,retreat,tai/shirizo-ku/shirizo-keru
9,単,simple,tan
9,炭,charcoal,tan/sumi
9,胆,gall bladder,tan
9,段,steps,dan
9,茶,tea,cha/sa
9,昼,daytime,chū/hiru
9,柱,pillar,chū/hashira
9,挑,challenge,chō/ido-mu
9,勅,imperial order,choku
9,珍,rare,chin/mezura-shii
9,追,follow,tsui/o-u
9,亭,pavilion,tei
9,貞,upright,tei
9,帝,sovereign,tei
9,訂,revise,tei
9,点,point,ten
9,度,degrees,do/tabi
9,怒,angry,do/ika-ru/oko-ru
9,逃,escape,tō/ni-geru/ni-gasu/noga-su/noga-reru
9,洞,den,dō/hora
9,峠,mountain peak,tōge
9,独,alone,doku/hito-ri
9,栃,horse chestnut,
9,南,south,nan/minami
9,虹,rainbow,niji
9,派,sect,ha
9,背,back,hai/se/sei/somu-ku/somu-keru
